,text,label
73,"""American Idol: What They Wore, 4/25/12 (Top 6)"" is the title for ""For performances Wednesday night, the Idols took on a Queen song and another song of their choice. So that meant a total of 12 fabulous fashion looks! Here is the low-down on what the Top 6 men and ladies wore."".Generate a headline for the following article: I love working with artists that know what they like because you can really explore other options within the same vein of style. Finding the perfect jacket, pants, shoes, and shirts is always a #FUN challenge with Phillip.","American Idol: What They Wore, 5/16/12 (Final 3)"
74,"""6 Budget Destinations Where You Can Stretch Your Travel Dollar"" is the title for ""If you're yearning to get away from it all but don't want to break the bank in the process, these six budget destinations come through with incredible deals and plenty of sun-dappled relaxation."".Generate a headline for the following article: Whether you're in town visiting and want to mix it up a bit, or you're a resident and want to get away from it all, start packing and hit the road!",The Best Road Trips From Los Angeles (PHOTOS)
75,"""Our 12 Favorite Hotel Bars For After-Work Drinks (PHOTOS)"" is the title for ""Hotel bars are often a convenient spot for a nightcap or a quick after-work drink (anything to take the edge off!) while"".Generate a headline for the following article: On the menus: vanilla-dipped brioche French toast, a milk chocolate nest, seafood bars and more.",The Top 10 Easter Brunches In The U.S.
76,"""Exploring Paris On A Budget (PHOTOS)"" is the title for ""Paris may be the art and fashion capital of the world -- known for its over-the-top luxury properties and bohemian boutiques -- but most people can't afford a stay at the iconic Hotel Plaza Athenee."".Generate a headline for the following article: Summer is (unofficially) here, and tons of travelers will be heading coast to coast to visit some of the most iconic city",Cross Country Must-Sees Throughout America (PHOTOS)
77,"""The Best Road Trips From Phoenix (PHOTOS)"" is the title for ""With a host of museums and galleries, top-notch Tex-Mex cuisine and cactus-dotted landscape, Arizona's state capital is one of the most unique metropolises in the country. Here's what to see nearby once you've explored all that Phoenix has to offer."".Generate a headline for the following article: One of Space City's greatest assets is its close proximity to some of the other most unique and cultured cities.","The Best Road Trips From Houston, TX (PHOTOS)"
78,"""London For Every Traveler (PHOTOS)"" is the title for ""It may have a stormy reputation, but like most of the greats, this city's best qualities lie in its history, culture and activities -- and it's certainly not a destination you want to miss!"".Generate a headline for the following article: Ancient ruins stand alongside Renaissance palazzos and buzzing cafes, and the works of art that can be viewed in the city's museums and churches are enough to make any culture lover drool.",Discover Rome: What To Do And Where To Stay (PHOTOS)
79,"""Five Ways To Stay In Cancun (PHOTOS)"" is the title for ""We've found just the spot to stay for almost every kind of traveler, so whether you plan on bringing the kids along or hope to have a romantic getaway, Oyster has a hotel for you."".Generate a headline for the following article: We've found just the spot to stay for almost every kind of traveler, so whether you're planning a romantic getaway or want to take the kids along, Oyster has a hotel for you.",5 Ways To Stay In Jamaica (PHOTOS)
80,"""Bachelor And Bachelorette Parties: 6 Popular Destinations Explored"" is the title for ""We bring you six of the most popular destinations for bachelor and bachelorette parties. But instead of limiting you to the traditional activities, we also offer alternative options for those looking for something a little different."".Generate a headline for the following article: Are you traveling with the guys and looking for some female company?",5 Hotels For Pick-Up Artists (PHOTOS)
81,"""Go Green: 8 Eco-Friendly Stays In Belize (PHOTOS)"" is the title for ""Belize is best known for its lush rain forests, Mayan ruins and gorgeous barrier reef -- one of the world's best sites for snorkeling and scuba diving. Here's a look at some of our favorite eco-friendly stays in the country."".Generate a headline for the following article: Both offer gorgeous architecture and a boat load of culture, but where one gets top marks for an eco-friendly attitude and a hipster vibe, the other is renowned for its beaches and bold attitude.",Melbourne Vs. Sydney: Which Australian City Is Right For You? (PHOTOS)
82,"""Beachfront Luxury: 15 Decadent Hotels on the Sand (PHOTOS)"" is the title for ""Who doesn't love a beach vacation? The sun, the sand, and the ocean all come together to make for a relaxing getaway that"".Generate a headline for the following article: Sometimes spa treatments tip over the edge of relaxing and enter the realm of the downright strange.",The World's Craziest Spa Services
83,"""Oyster.com's Guide To Nude Hotels (PHOTOS)"" is the title for ""When a reader wrote in looking for an unbuttoned getaway, we had some nude vacation answers."".Generate a headline for the following article: When we travel, we like to let loose -- after all, isn't a vacation all about leisure?",6 Hotels For Party Animals (VIDEO)
84,"""5 Unusual (But Awesome) Honeymoon Vacations (PHOTOS)"" is the title for ""If you and your significant other identify more with the less-than-traditional set of newlyweds, why not jet off to some exotic, unexpected locale instead?"".Generate a headline for the following article: Couples getaways can be great. Unfortunately, they normally involve having your significant other along.",5 Hotels With Distracting Amenities (PHOTOS)
85,"""Hotels That Hosted Celebrity Meltdowns (PHOTOS)"" is the title for ""Trashed suites, accosted employees, terrified hookers -- plenty of celebrities have left quite a wake behind them in some of the ritziest hotels in the country."".Generate a headline for the following article: If you want to drop a beat, or just pick up the vibes left behind by some of your favorite musicians, check out these rock-ready hotels.",Trash Your Room At These Rock And Roll Hotels (PHOTOS)
86,"""Hawaii For Every Traveler (PHOTOS)"" is the title for ""Whether you're on a budget or you're looking for luxury, Oyster has found just the spot to stay for almost every kind of traveler -- and has the perfect Hawaii hotel for you."".Generate a headline for the following article: From the tip of Maine to the Florida Keys, America's Eastern region is a diverse area filled with just about every type of terrain an active traveler could want: mountains, marshes, lakes, cliffs, forests and so much more.",Getting Outdoors In The East (PHOTOS)
87,"""5 Gorgeous Places To Get Back In Touch With Nature"" is the title for ""Check out our favorite unplugged havens and pick the best one for you. Then it's time to lose the cell -- at least for a weekend."".Generate a headline for the following article: We're pretty excited about all the beef stew and Bailey's we plan on imbibing this weekend.",5 Irish Pubs For Celebrating St. Patrick's Day (PHOTOS)
88,"""Oyster Half Dozen: The Best Value Hotels (VIDEO)"" is the title for ""We may talk a lot about luxury hotels, but we're suckers for a good deal."".Generate a headline for the following article: I soon realized my error: He wasn't a police officer, but a full-blown pimp about to shake down a John.","Exposing The Kew Motor Inn, A Sex Hotel (PHOTOS)"
89,"""Hotel Homes: 9 Historic Castles, Mansions, and Estates Where You Can Stay"" is the title for ""Ever dreamed of being king or queen of a castle? Lord or lady of the manor? Well, you're not the only one -- and plenty of hotels around the world can make that dream come true."".Generate a headline for the following article: Legend has it that when Dom Perignon first discovered champagne, he called out, ""Come quickly, I am tasting the stars!"" It's hard to disagree with the Frenchman -- a cool glass of bubbly can make even the most stoic person let loose a giggle or a smirk.",Toast 2013 All Year Long At These 7 Sophisticated Champagne Lounges (PHOTOS)
90,"""The Bitter End Yacht Club Offers An Old-School Caribbean Stay"" is the title for ""The assumption here is that travelers know how to handle both the a schooner and their rum."".Generate a headline for the following article: Few people know how to take it easy better than South Carolinians.",5 Great Spots To Chill Out In South Carolina (PHOTOS)
91,"""The Best Places To Watch NYC's July 4 Fireworks Show (PHOTOS)"" is the title for ""At this point in the summer, every city in the U.S. is gearing up to the July 4 celebrations with plans for parades, fireworks, performances and street fairs. But few can match what New York has up its sleeve this year to mark Independence Day."".Generate a headline for the following article: Alas, 2012 has come and gone, and we can't help but get a little nostalgic. After all, it was a great year -- especially in the hotel industry. But what really rocked our world this past year were the numerous (and we mean numerous) celebrity scandals that went down behind closed hotel doors.",The Biggest Celebrity Hotel Scandals Of 2012 (PHOTOS)
92,"""12 Hotel Fitness Centers With Killer Views (PHOTOS)"" is the title for ""Some hotels go above and beyond to provide an appealing space for travelers to work out, with large windows overlooking the city, the mountains, even the beach!"".Generate a headline for the following article: Some hotels aren't interested in catering to the baby-toting crowd and we're totally alright with that.",5 Amazing Adults-Only Retreats (PHOTOS)
93,"""Romantic Honeymoon Hotels around the World (PHOTOS)"" is the title for ""Honeymoons must be two things: romantic and memorable. Any old trip to the beach is simply not going to suffice for a couple's post-nuptial getaway."".Generate a headline for the following article: Deciding on a destination for an upcoming trip is never easy. While the beach and mountains may beckon, cities are a great",12 Best Urban Rooftop Pools
94,"""Melbourne Vs. Sydney: Which Australian City Is Right For You? (PHOTOS)"" is the title for ""Both offer gorgeous architecture and a boat load of culture, but where one gets top marks for an eco-friendly attitude and a hipster vibe, the other is renowned for its beaches and bold attitude."".Generate a headline for the following article: Dubbed the ""City of Brotherly Love,"" Philadelphia is famous for its rich revolution-era history, its architecture and its truly fanatic sports fans.",The Best Road Trips From Philadelphia (PHOTOS)
95,"""The Most Beautiful Views In Florence (PHOTOS)"" is the title for ""We've seen plenty of beautiful sights on our travels, and we've taken in some of the most breathtaking views we've ever seen in Florence, a city characterized by red rooftops, cobblestone streets and distant rolling hills."".Generate a headline for the following article: These fantasies can very easily become a reality, with an outdoor space and a little elbow grease. We've seen a lot of beautiful gardens on our travels, and so we took what we learned to come up these 10 helpful gardening tips.",Secret Gardens: 10 Ways to Transform Your Sanctuary for Summer
96,"""5 Hotel Health Risks You Didn't Know About"" is the title for ""Let's face it: Traveling can bring out the inner germaphobe in even the most adventurous of us."".Generate a headline for the following article: Many hotels have on-site bars, even if they're merely situated in the glorified outskirts of the lobby, where guests can",The 12 Trendiest Hotel Bars Across the U.S. (PHOTOS)
97,"""Our 12 Favorite Hotel Bars For After-Work Drinks (PHOTOS)"" is the title for ""Hotel bars are often a convenient spot for a nightcap or a quick after-work drink (anything to take the edge off!) while"".Generate a headline for the following article: We have a special spot in our heart for hipster travelers. They, like us, have high standards when it comes to choosing a hotel. They'll often gravitate toward spots that are uber-trendy, quirky, or extremely green.",These Hotels Are Sooo Not Mainstream: 7 Top Hipster Havens
98,"""Where America's Old Money Stays and Plays (PHOTOS)"" is the title for ""Want to live like a Rockefeller on your next vacation? Want a voyeuristic peek into the world of the rich and powerful? These"".Generate a headline for the following article: Those same bunny hills and black diamonds turn into fun hiking trails and mountain bike circuits when the snow melts, and the dining and drinking is taken outdoors, bringing a lively atmosphere to long, sunny summer days.",Exploring Whistler: What To Do And Where To Stay (PHOTOS)
99,"""Sticker Shock: 12 Crazy Expensive Hotel Suites (PHOTOS)"" is the title for ""Shelling out thousands of dollars a night for a hotel room may not be in the cards for most of us, but that doesn't mean"".Generate a headline for the following article: Being one of the northernmost capitals in Europe gets you a reputation as a cold place, but that doesn't mean Stockholm doesn't offer myriad activities and during the warm summer months.",Discover Stockholm: What to Do and Where to Stay (PHOTOS)
100,"""5 Ways To Stay In Jamaica (PHOTOS)"" is the title for ""We've found just the spot to stay for almost every kind of traveler, so whether you're planning a romantic getaway or want to take the kids along, Oyster has a hotel for you."".Generate a headline for the following article: We've done some digging into Disney's digs and have found the resorts that'll best suit all types of Disney-bound fanatics. Whether you're planning a girls' getaway or a family vacation, Disney World can be just the spot to relax, reconnect -- and most importantly -- have the time of your life.",Picking The Perfect Disney Resort For You (PHOTOS)
